HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url1,Input.image_url2,Answer.taskAnswers,Approve,Reject
3BA7SXOG1J5JBL0NYOXVHCBLI9DR83,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,30LSNF239VAXIRT9IMZNIDTE1KFI2M,A1XM3URUD94QOV,Submitted,Thu Nov 12 16:29:32 PST 2020,Thu Nov 12 16:29:44 PST 2020,Sun Nov 15 16:29:44 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/33_Ours.png,https://yzhouas.github.io/MHIP/All_box/33_ProFill.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3BA7SXOG1J5JBL0NYOXVHCBLI9DR83,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,33PPO7FECWUKL1RPFBJ4EWKIYBYDIK,A1MC3CCKEU9UTR,Submitted,Thu Nov 12 15:56:13 PST 2020,Thu Nov 12 15:56:28 PST 2020,Sun Nov 15 15:56:28 PST 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/33_Ours.png,https://yzhouas.github.io/MHIP/All_box/33_ProFill.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3BA7SXOG1J5JBL0NYOXVHCBLI9DR83,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3A1COHJ8NKA88BKESLQ3SS52N7TH8W,A1LK8J9O8U4TK9,Submitted,Thu Nov 12 16:36:30 PST 2020,Thu Nov 12 16:36:42 PST 2020,Sun Nov 15 16:36:42 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/33_Ours.png,https://yzhouas.github.io/MHIP/All_box/33_ProFill.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3BA7SXOG1J5JBL0NYOXVHCBLI9DR83,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3KIBXJ1WD692VT825NIW26BUUT1KO6,A1ZQSTHC4A4XNG,Submitted,Thu Nov 12 16:37:49 PST 2020,Thu Nov 12 16:37:59 PST 2020,Sun Nov 15 16:37:59 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/33_Ours.png,https://yzhouas.github.io/MHIP/All_box/33_ProFill.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3BA7SXOG1J5JBL0NYOXVHCBLI9DR83,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3PW9OPU9PRZMILXBAFEHQECSKIY127,AIH7C1VQF6HHZ,Submitted,Thu Nov 12 15:51:56 PST 2020,Thu Nov 12 15:52:25 PST 2020,Sun Nov 15 15:52:25 PST 2020,,,,29,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/33_Ours.png,https://yzhouas.github.io/MHIP/All_box/33_ProFill.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3BA7SXOG1J5JBL0NYOXVHCBLI9DR83,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3S06PH7KSSJ9LVVR74YYMX3WH9Y1DR,A9IQ8ED0WSB77,Submitted,Thu Nov 12 16:55:07 PST 2020,Thu Nov 12 16:55:15 PST 2020,Sun Nov 15 16:55:15 PST 2020,,,,8,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/33_Ours.png,https://yzhouas.github.io/MHIP/All_box/33_ProFill.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3BA7SXOG1J5JBL0NYOXVHCBLI9DR83,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3ZDAD0O1T2SOSLCH0NJKMAPJPA1TXU,A66WK9JDAK4XR,Submitted,Thu Nov 12 16:57:51 PST 2020,Thu Nov 12 16:58:10 PST 2020,Sun Nov 15 16:58:10 PST 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/33_Ours.png,https://yzhouas.github.io/MHIP/All_box/33_ProFill.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
38EHZ67RIM777KTDCED2NQY905RMGQ,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,30JNVC0ORAZEEFKAEF73EJQ2HDGQHH,A1XM3URUD94QOV,Submitted,Thu Nov 12 16:40:47 PST 2020,Thu Nov 12 16:41:06 PST 2020,Sun Nov 15 16:41:06 PST 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/3_Ours.png,https://yzhouas.github.io/MHIP/All_box/3_DVI.png,"[{""Image"":{""img1"":false,""img2"":true}}]",,
38EHZ67RIM777KTDCED2NQY905RMGQ,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,31Z0PCVWULUUD66QIAFMSBCVNHLT7Y,A2W2AP0ULMY38G,Submitted,Thu Nov 12 16:54:18 PST 2020,Thu Nov 12 16:54:31 PST 2020,Sun Nov 15 16:54:31 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/3_Ours.png,https://yzhouas.github.io/MHIP/All_box/3_DVI.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
38EHZ67RIM777KTDCED2NQY905RMGQ,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,33IZTU6J82GNDLZ2BNEUC5TXNRHXS3,A4AYXBQNKPA6I,Submitted,Thu Nov 12 16:28:28 PST 2020,Thu Nov 12 16:28:45 PST 2020,Sun Nov 15 16:28:45 PST 2020,,,,17,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/3_Ours.png,https://yzhouas.github.io/MHIP/All_box/3_DVI.png,"[{""Image"":{""img1"":false,""img2"":true}}]",,
